"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"ETHYLMALONIC ACID"	"LAURIC ACID"	"MALEIC ACID"	"N-ACETYL-DL-METHIONINE"	"N-ACETYL-L-PHENYLALANINE"	"RIBOFLAVIN"	"SEBACIC ACID"	"SUBERIC ACID"	"SUCCINIC ACID"	"URIDINE DIPHOSPHATE GLUCOSE"
"I24h0.0a"	"Immature"	"24h"	0	"a"	1.52020305953779	6.57880244167431	9.21597358558961	1.89035113497127	4.28488560142823	6.95754499796398	23.2154427971017	10.0946893529929	32.1229800342626	197.301172928131
"I24h0.0b"	"Immature"	"24h"	0	"b"	1.45821507961482	8.34561269832219	10.7775173426616	2.50729635253649	6.62309894585706	9.14139648176108	27.761243810395	7.8052189667472	34.6646233783559	223.093610271518
"I24h0.0c"	"Immature"	"24h"	0	"c"	2.18933758051058	7.13586501608101	13.4863222870738	4.82456981950543	5.87984617289309	11.5067526087483	27.3981214953763	8.91849537459917	64.5911210115497	296.844292699044
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	2.10994904411808	5.07797736566715	8.4087072122191	3.74680581980537	5.42698409081337	9.53430013436411	20.6924126357599	7.79157515908479	39.7561292787563	191.88928183264
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	2.14541229914521	9.94329216883577	11.2091561731011	3.09144468247092	4.75850431705923	7.09087057835831	26.1724434013368	9.76092231438431	41.5604953227418	186.262483442166
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	2.08287627751137	6.16062106013607	13.9783597402062	4.01364043423173	8.64914913619394	8.58357833609333	27.3953543008686	8.65606702856084	57.7778228437184	396.551269058383
"I24h1.0a"	"Immature"	"24h"	1	"a"	2.14795441524759	3.10661749870642	8.02401698520973	3.41557702363063	7.08020680413515	10.2737273626182	26.602697540334	10.3253032767287	40.6518079226993	234.046145493496
"I24h1.0b"	"Immature"	"24h"	1	"b"	2.64323846566666	4.00446386059926	8.00784113483081	3.47131028499088	3.97488182101376	9.07181246258311	22.3985789714811	0.118889961723403	38.0716940931735	236.504563505478
"I24h1.0c"	"Immature"	"24h"	1	"c"	2.28132407028919	6.52584647575052	12.4657949997113	3.76402629238058	5.85322573461939	7.91868297209565	25.7519985065726	8.4447648272375	38.1651288600522	230.951109526024
"I10d0.0a"	"Immature"	"10d"	0	"a"	11.6157896866863	5.36273833709556	8.96764826318459	5.93012231374053	10.1329641488664	8.44810364204194	26.4235695815203	7.06216248449445	81.8439659719437	190.601299604842
"I10d0.0b"	"Immature"	"10d"	0	"b"	11.3407881123255	7.37868862140379	11.9155683940647	6.50943313516301	13.0171971358392	13.2614116548837	27.8406662303278	7.71029503107406	141.863709371917	272.743291006797
"I10d0.0c"	"Immature"	"10d"	0	"c"	15.2539003853357	9.15414678867663	13.4283061236612	9.68464659711794	15.4051011245692	13.7179043406592	27.9868390638724	9.92645869249725	164.616821393352	310.012472119491
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	12.9262115417925	5.37362983353501	6.9870889942462	4.04343927980466	10.509530567575	10.7480773512076	28.6479710107943	11.5073438797527	80.1219694054206	191.224914812058
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	8.30918730566711	5.97114975780606	6.21269328799095	4.39274066353584	7.62238598656395	7.54273936809756	25.1920491295278	8.64985493306611	65.4412052060472	117.192368367334
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	14.439598378576	7.42348473117752	8.17586904355293	5.96503875620515	10.9366062266344	8.04889304308204	25.5383786746105	9.44801118425229	104.5129060153	244.630036441232
"I10d1.0a"	"Immature"	"10d"	1	"a"	7.4181520982322	5.5525848765577	4.11514759766251	5.55903758663843	6.22312446316959	6.76669714609806	23.5479309733821	7.73754422529278	53.3906118427271	147.045474445024
"I10d1.0b"	"Immature"	"10d"	1	"b"	7.50728204842382	5.56758921998223	5.3131810476923	6.30382700947893	6.88034977283909	11.1777536830713	30.4869396973891	9.68191200921549	74.4866712228262	168.470126907674
"I10d1.0c"	"Immature"	"10d"	1	"c"	7.86093085303576	6.67055521471146	5.20829934587813	5.21963372559735	5.53755043632079	10.2965582502605	21.8223109270937	8.65856075481006	57.1168704691006	125.820701362091
